CHEMBL_ID	TID	PREF_NAME	PROTEIN_ACCESSION	TARGET_TYPE	ORGANISM	COMPOUNDS	ENDPOINTS
CHEMBL3065	12787	Estrogen receptor alpha	P19785	SINGLE PROTEIN	Mus musculus	27	43
CHEMBL3876	11335	Nuclear factor of activated T-cells cytoplasmic 1	O95644	SINGLE PROTEIN	Homo sapiens	5	5
CHEMBL3751	11254	Estrogen-related receptor beta	O95718	SINGLE PROTEIN	Homo sapiens	72	91
CHEMBL4189	100196	Homeobox protein Brn-2	P20265	SINGLE PROTEIN	Homo sapiens	4	4
CHEMBL5119	101076	Zinc finger protein GLI2	P10070	SINGLE PROTEIN	Homo sapiens	13	13
CHEMBL5369	100936	Transcription factor AP-1	P05627	SINGLE PROTEIN	Mus musculus	24	28
CHEMBL5817	101347	Signal transducer and activator of transcription 5B	P51692	SINGLE PROTEIN	Homo sapiens	47	48
CHEMBL6064	102872	Transcriptional regulatory protein devR (dosR)	P9WMF9	SINGLE PROTEIN	Mycobacterium tuberculosis	11	34
CHEMBL6103	102411	Transcription factor Sp1	P08047	SINGLE PROTEIN	Homo sapiens	37	37
CHEMBL1741186	103982	Nuclear receptor ROR-gamma	P51449	SINGLE PROTEIN	Homo sapiens	2427	3817
CHEMBL1667670	103862	Signal transducer and activator of transcription 1	P42225	SINGLE PROTEIN	Mus musculus	28	39
CHEMBL1961791	104476	Nuclear receptor subfamily 2 group F member 6	P10588	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL1961793	104478	Nuclear receptor subfamily 6 group A member 1	Q15406	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL1250403	103517	Ecdysone receptor	O18531	SINGLE PROTEIN	Lucilia cuprina	24	24
CHEMBL2095163	104748	Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2	P37231, Q15596	PROTEIN-PROTEIN INTERACTION	Homo sapiens	749	749
CHEMBL1961784	104469	Nuclear receptor subfamily 1 group D member 2	Q14995	SINGLE PROTEIN	Homo sapiens	6	13
CHEMBL2111394	105089	RXR alpha/PPAR gamma	P19793, P37231	PROTEIN COMPLEX	Homo sapiens	38	73
CHEMBL4453	100125	ETS domain protein Elk-1	P19419	SINGLE PROTEIN	Homo sapiens	5	6
CHEMBL2111421	104930	Transcription factor AP1	P01100, P05412	PROTEIN COMPLEX	Homo sapiens	83	124
CHEMBL3509594	109683	Nuclear receptor subfamily 1 group I member 3	Q9QUS1	SINGLE PROTEIN	Rattus norvegicus	3	17
CHEMBL2146315	105143	Nuclear receptor subfamily 1 group I member 2	Q9R1A7	SINGLE PROTEIN	Rattus norvegicus	508	622
CHEMBL3706565	109980	Liver X receptor (LXR alpha AND LXR beta)	P55055, Q13133	SELECTIVITY GROUP	Homo sapiens	107	115
CHEMBL2366581	106725	Ecdysone receptor	P20153, P34021	PROTEIN COMPLEX	Drosophila melanogaster	94	183
CHEMBL2366575	106719	Ecdysone receptor	P49880, Q9GSG8	PROTEIN COMPLEX	Aedes aegypti	4	7
CHEMBL3734643	116683	Transcription factor HES-1	Q14469	SINGLE PROTEIN	Homo sapiens	2	2
CHEMBL3885544	117088	Cellular tumor antigen p53/Peptidyl-prolyl cis-trans isomerase D	P04637, Q08752	PROTEIN-PROTEIN INTERACTION	Homo sapiens	10	10
CHEMBL3885607	117151	Myc proto-oncogene protein/Transcription factor AP-1	P01109, P18870	PROTEIN-PROTEIN INTERACTION	Gallus gallus	2	2
CHEMBL3879839	116964	Nuclear receptor subfamily 4 group A member 2	Q06219	SINGLE PROTEIN	Mus musculus	2	6
